Name,Rating,Games,Moves,CPL,MM,Sort Score,Analysis
Valery A Loginov,2516,9,390,37,56,19,A
Valery A Loginov,2516,9,391,37,55,18,C
Alexander Morozevich,2758,10,394,25,62,37,C
Alexander Morozevich,2758,10,394,25,65,40,D
Alexander Morozevich,2758,10,397,27,63,36,A
Tatiana Kosintseva,2492,10,401,34,56,22,D
Tatiana Kosintseva,2492,10,404,33,56,23,C
Tatiana Kosintseva,2492,10,405,40,54,14,A
Garry Kasparov,2813,10,411,27,62,35,D
Garry Kasparov,2813,10,412,32,60,28,A
Garry Kasparov,2813,10,412,27,59,32,C
Mikhail Ulibin,2579,9,424,29,55,26,D
Mikhail Ulibin,2579,9,430,34,53,19,A
Juan Mario Gomez Esteban,2486,9,432,37,55,18,D
Juan Mario Gomez Esteban,2486,9,436,36,54,18,C
Juan Mario Gomez Esteban,2486,9,442,39,55,16,A
Olga Girya,2338,11,460,37,56,19,D
Olga Girya,2338,11,462,37,57,20,C
Olga Girya,2338,11,466,41,52,11,A
Oleg Korneev,2657,15,467,35,57,22,D
Vasilios Kotronias,2628,9,468,28,61,33,D
Oleg Korneev,2657,15,470,36,56,20,C
Vasilios Kotronias,2628,9,471,32,59,27,C
Vasilios Kotronias,2628,9,474,32,58,26,B
Valentina Gunina,2359,11,474,49,52,3,D
Vasilios Kotronias,2628,9,475,35,56,21,A
Ekaterina Korbut,2443,11,476,34,54,20,D
Ekaterina Korbut,2443,11,477,34,53,19,C
Oleg Korneev,2657,15,478,38,55,17,A
Valentina Gunina,2359,11,479,48,53,5,C
Ekaterina Korbut,2443,11,483,40,51,11,A
Valentina Gunina,2359,11,487,50,54,4,B
Valentina Gunina,2359,11,488,55,54,-1,A
Evgenija Ovod,2386,11,492,29,58,29,D
Nadezhda Kosintseva,2469,10,494,33,54,21,D
Evgenija Ovod,2386,11,494,32,56,24,C
Nadezhda Kosintseva,2469,10,495,35,54,19,C
Nadezhda Kosintseva,2469,10,496,34,53,19,B
Tatiana Shadrina,2379,11,498,34,55,21,D
Evgenija Ovod,2386,11,498,40,54,14,A
Tatiana Shadrina,2379,11,500,34,56,22,C
Nadezhda Kosintseva,2469,10,502,40,48,8,A
Ekaterina Kovalevskaya,2448,11,506,38,54,16,D
Ekaterina Kovalevskaya,2448,11,507,37,55,18,C
Alexey Dreev,2698,15,508,26,60,34,D
Tatiana Shadrina,2379,11,509,38,54,16,A
Alexey Dreev,2698,15,510,27,58,31,C
Alexey Dreev,2698,15,511,35,55,20,A
Alexey Dreev,2698,15,511,31,56,25,B
Ekaterina Kovalevskaya,2448,11,512,37,54,17,A
Svetlana Matveeva,2434,11,516,38,54,16,D
Natalija Pogonina,2462,11,517,37,57,20,D
Svetlana Matveeva,2434,11,519,37,53,16,C
Natalija Pogonina,2462,11,523,37,55,18,C
Natalija Pogonina,2462,11,525,38,51,13,A
Svetlana Matveeva,2434,11,525,40,51,11,A
Elena Tairova,2391,11,561,43,54,11,D
Elena Tairova,2391,11,564,44,54,10,C
Elena Tairova,2391,11,569,45,50,5,A
Tatiana Kononenko,2375,17,569,41,50,9,C
Tatiana Kononenko,2375,17,570,42,51,9,D
Tatiana Kononenko,2375,17,572,42,49,7,B
Tatiana Kononenko,2375,17,573,45,50,5,A
Tatiana Stepovaia,2375,11,593,42,53,11,D
Artyom Timofeev,2611,17,595,28,59,31,D
Artyom Timofeev,2611,17,596,29,59,30,C
Tatiana Stepovaia,2375,11,596,42,54,12,C
Artyom Timofeev,2611,17,598,32,56,24,B
Artyom Timofeev,2611,17,599,34,56,22,A
Tatiana Stepovaia,2375,11,600,44,53,9,A
Vladimir Epishin,2599,18,644,30,54,24,D
Vladimir Epishin,2599,18,646,31,52,21,C
Vladimir Epishin,2599,18,650,37,51,14,A
Alexey Korotylev,2596,19,652,37,53,16,D
Alexey Korotylev,2596,19,655,35,54,19,C
Alexey Korotylev,2596,19,662,40,53,13,A
Vitaly Tseshkovsky,2577,19,731,33,56,23,D
Vitaly Tseshkovsky,2577,19,733,35,55,20,C
Vitaly Tseshkovsky,2577,19,737,39,52,13,A
Alexander Motylev,2651,16,774,25,59,34,D
Alexander Motylev,2651,16,776,26,58,32,C
Alexander Motylev,2651,16,780,29,57,28,A
